epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.75,0.8275578022003174,0.0010000000474974513,0.5363089442253113,0.7758620977401733,0.675000011920929,0.9024389982223511,0.9557416439056396,0.3494766056537628,0.9166666865348816,0.8684210777282715
1,0.8581730723381042,0.9388889074325562,0.0010000000474974513,0.3441408574581146,0.8542713522911072,0.8500000238418579,0.9146341681480408,0.9620214700698853,0.27957579493522644,0.9428571462631226,0.8684210777282715
2,0.8942307829856873,0.9582059979438782,0.0010000000474974513,0.28655868768692017,0.9020618796348572,0.875,0.8780487775802612,0.9730861186981201,0.315053790807724,0.804347813129425,0.9736841917037964
3,0.911057710647583,0.9769906997680664,0.0010000000474974513,0.2265680730342865,0.9222797751426697,0.8899999856948853,0.9024389982223511,0.9787678718566895,0.24869710206985474,0.8947368264198303,0.8947368264198303
4,0.9375,0.9800000190734863,0.0010000000474974513,0.2050471007823944,0.9350000023841858,0.9350000023841858,0.9146341681480408,0.9796650409698486,0.25409674644470215,0.8974359035491943,0.9210526347160339
5,0.9471153616905212,0.9845949411392212,0.0010000000474974513,0.18181023001670837,0.9494949579238892,0.9399999976158142,0.9146341681480408,0.978169858455658,0.23447692394256592,0.9189189076423645,0.8947368264198303
6,0.9278846383094788,0.9862731695175171,0.0010000000474974513,0.18085883557796478,0.9473684430122375,0.8999999761581421,0.9268292784690857,0.9814592599868774,0.2779652178287506,0.8809523582458496,0.9736841917037964
7,0.9567307829856873,0.9910300970077515,0.0010000000474974513,0.15788453817367554,0.9504950642585754,0.9599999785423279,0.9268292784690857,0.9823564887046814,0.21699367463588715,0.9210526347160339,0.9210526347160339
8,0.9711538553237915,0.9932870268821716,0.0010000000474974513,0.13939164578914642,0.9895833134651184,0.949999988079071,0.8658536672592163,0.9796650409698486,0.32172125577926636,0.7872340679168701,0.9736841917037964
9,0.9591346383094788,0.9955671429634094,0.0010000000474974513,0.12786848843097687,0.9552238583564758,0.9599999785423279,0.9024389982223511,0.9811602830886841,0.22634106874465942,0.8947368264198303,0.8947368264198303
10,0.9567307829856873,0.9926620721817017,0.0003000000142492354,0.1381455510854721,0.9739583134651184,0.9350000023841858,0.9146341681480408,0.9799641370773315,0.24883750081062317,0.8974359035491943,0.9210526347160339
11,0.9663461446762085,0.9940392971038818,0.0003000000142492354,0.1313120424747467,0.9603960514068604,0.9700000286102295,0.9024389982223511,0.9796650409698486,0.2543379068374634,0.875,0.9210526347160339
12,0.9591346383094788,0.9939351677894592,9.000000136438757e-05,0.13721802830696106,0.9740932583808899,0.9399999976158142,0.9024389982223511,0.9802631735801697,0.24740470945835114,0.875,0.9210526347160339
