Model,Accuracy,Precision,Recall,F1,AUC,Test Loss,Training Time (min)
ResNet50,0.8795180722891566,0.9166666666666666,0.825,0.868421052631579,0.9505813953488371,0.3839614987373352,9.195729227860769
MobileNetV2,0.8674698795180723,0.8717948717948718,0.85,0.8607594936708861,0.9569767441860465,0.31767401099205017,3.2685822010040284
EfficientNetB0,0.8554216867469879,0.8181818181818182,0.9,0.8571428571428571,0.95,0.3504909873008728,5.19214041630427
VGG16,0.8433734939759037,0.9354838709677419,0.725,0.8169014084507042,0.9302325581395349,0.42935436964035034,50.747074770927426
