epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9447115659713745,0.9868286848068237,9.999999747378752e-06,0.16966207325458527,0.9538461565971375,0.9300000071525574,0.9024389982223511,0.9835526347160339,0.22870810329914093,0.8571428656578064,0.9473684430122375
1,0.9591346383094788,0.9934490919113159,9.999999747378752e-06,0.13637159764766693,0.9644669890403748,0.949999988079071,0.9024389982223511,0.9835526347160339,0.22908785939216614,0.8571428656578064,0.9473684430122375
2,0.9591346383094788,0.991944432258606,9.999999747378752e-06,0.14613854885101318,0.9644669890403748,0.949999988079071,0.9024389982223511,0.9841507077217102,0.2382739931344986,0.8571428656578064,0.9473684430122375
3,0.9615384340286255,0.9926620721817017,2.9999998787388904e-06,0.13758417963981628,0.9599999785423279,0.9599999785423279,0.9024389982223511,0.9844497442245483,0.2358095645904541,0.8571428656578064,0.9473684430122375
4,0.9543269276618958,0.9932175278663635,2.9999998787388904e-06,0.13691593706607819,0.9502487778663635,0.9549999833106995,0.9024389982223511,0.9847487807273865,0.23396171629428864,0.8571428656578064,0.9473684430122375
5,0.9567307829856873,0.9918749928474426,8.999999749903509e-07,0.1441681832075119,0.9460784196853638,0.9649999737739563,0.9024389982223511,0.9847488403320312,0.23318219184875488,0.8571428656578064,0.9473684430122375
6,0.9567307829856873,0.9925463199615479,8.999999749903509e-07,0.14095576107501984,0.9504950642585754,0.9599999785423279,0.9024389982223511,0.9847488403320312,0.23250211775302887,0.8571428656578064,0.9473684430122375
7,0.9543269276618958,0.9918403029441833,2.699999868127634e-07,0.14584802091121674,0.9502487778663635,0.9549999833106995,0.9024389982223511,0.9847487807273865,0.2321757823228836,0.8571428656578064,0.9473684430122375
8,0.9543269276618958,0.993715226650238,2.699999868127634e-07,0.1393306702375412,0.9502487778663635,0.9549999833106995,0.9024389982223511,0.9847487807273865,0.23185791075229645,0.8571428656578064,0.9473684430122375
9,0.9591346383094788,0.9933449029922485,1.0000000116860974e-07,0.1376793533563614,0.9552238583564758,0.9599999785423279,0.9024389982223511,0.9847487807273865,0.2318868190050125,0.8571428656578064,0.9473684430122375
