epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9134615659713745,0.9666666984558105,9.999999747378752e-06,0.2564660310745239,0.9141414165496826,0.9049999713897705,0.8658536672592163,0.9581339359283447,0.3009762167930603,0.8292682766914368,0.8947368264198303
1,0.9182692170143127,0.9692360758781433,9.999999747378752e-06,0.2486545294523239,0.9191918969154358,0.9100000262260437,0.9146341681480408,0.9623205661773682,0.2791297733783722,0.8974359035491943,0.9210526347160339
2,0.9254807829856873,0.9772222638130188,9.999999747378752e-06,0.22324420511722565,0.9378238320350647,0.9049999713897705,0.9146341681480408,0.9656100273132324,0.2727053463459015,0.8974359035491943,0.9210526347160339
3,0.9399038553237915,0.9804745316505432,9.999999747378752e-06,0.2029096484184265,0.9441624283790588,0.9300000071525574,0.9146341681480408,0.9659091234207153,0.2625870704650879,0.8974359035491943,0.9210526347160339
4,0.9302884340286255,0.9837731122970581,9.999999747378752e-06,0.1860836148262024,0.929648220539093,0.925000011920929,0.9268292784690857,0.9686005115509033,0.25633299350738525,0.8999999761581421,0.9473684430122375
5,0.932692289352417,0.9829282164573669,9.999999747378752e-06,0.19180884957313538,0.9432989954948425,0.9150000214576721,0.9146341681480408,0.9686004519462585,0.2546514868736267,0.8974359035491943,0.9210526347160339
6,0.9254807829856873,0.9841781854629517,9.999999747378752e-06,0.18727514147758484,0.9289340376853943,0.9150000214576721,0.9146341681480408,0.9688994884490967,0.2532860338687897,0.8974359035491943,0.9210526347160339
7,0.9447115659713745,0.9898958206176758,9.999999747378752e-06,0.15569846332073212,0.9585492014884949,0.925000011920929,0.9146341681480408,0.9697966575622559,0.24351729452610016,0.8974359035491943,0.9210526347160339
8,0.9567307829856873,0.9930208325386047,9.999999747378752e-06,0.1405506432056427,0.9595959782600403,0.949999988079071,0.9146341681480408,0.9709928035736084,0.2354678213596344,0.8974359035491943,0.9210526347160339
9,0.9519230723381042,0.9898958206176758,9.999999747378752e-06,0.15140202641487122,0.949999988079071,0.949999988079071,0.9146341681480408,0.9739832282066345,0.25031960010528564,0.8974359035491943,0.9210526347160339
