epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8461538553237915,0.905497670173645,9.999999747378752e-06,0.5764191150665283,0.8333333134651184,0.8500000238418579,0.8902438879013062,0.9700957536697388,0.2360890954732895,0.8918918967247009,0.8684210777282715
1,0.8509615659713745,0.9251852035522461,9.999999747378752e-06,0.39789873361587524,0.8382353186607361,0.8550000190734863,0.9268292784690857,0.970095694065094,0.24052919447422028,0.970588207244873,0.8684210777282715
2,0.8629807829856873,0.9321990609169006,9.999999747378752e-06,0.3824147582054138,0.8743455410003662,0.8349999785423279,0.9024389982223511,0.9760765433311462,0.2139659970998764,0.875,0.9210526347160339
3,0.8870192170143127,0.9636110663414001,9.999999747378752e-06,0.2646017074584961,0.8695651888847351,0.8999999761581421,0.9024389982223511,0.9763755202293396,0.24248090386390686,1.0,0.7894737124443054
4,0.8918269276618958,0.9539467692375183,9.999999747378752e-06,0.3000057637691498,0.8817734122276306,0.8949999809265137,0.9512194991111755,0.9886363744735718,0.1675196886062622,0.9722222089767456,0.9210526347160339
5,0.9158653616905212,0.9798842668533325,9.999999747378752e-06,0.21592459082603455,0.9459459185600281,0.875,0.9634146094322205,0.989234447479248,0.15920838713645935,0.9729729890823364,0.9473684430122375
6,0.9543269276618958,0.9888194799423218,9.999999747378752e-06,0.156259223818779,0.9593908786773682,0.9449999928474426,0.9634146094322205,0.9880383014678955,0.15700837969779968,0.9729729890823364,0.9473684430122375
7,0.9471153616905212,0.9840741157531738,9.999999747378752e-06,0.18048237264156342,0.9405940771102905,0.949999988079071,0.9512194991111755,0.9838516712188721,0.1694788783788681,0.9722222089767456,0.9210526347160339
8,0.9350961446762085,0.9827430248260498,9.999999747378752e-06,0.193307563662529,0.9481865167617798,0.9150000214576721,0.9390243887901306,0.9832535982131958,0.17415164411067963,0.9714285731315613,0.8947368264198303
9,0.9591346383094788,0.9883101582527161,2.9999998787388904e-06,0.14863453805446625,0.9597989916801453,0.9549999833106995,0.9512194991111755,0.9850478172302246,0.172696053981781,0.9722222089767456,0.9210526347160339
